date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-10-01 00:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,16,21,21,21,2,71,73,0.3,1012,21,9,162,1,incheon
2020-10-01 03:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,15,20,20,20,12,84,75,0.6,1012,20,9,146,9,incheon
2020-10-01 06:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,13,19,19,19,12,23,68,0.0,1013,19,10,134,9,incheon
2020-10-01 09:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,13,20,20,20,15,100,63,0.0,1014,20,10,149,13,incheon
2020-10-01 12:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,13,22,25,22,13,77,59,0.1,1013,22,10,182,12,incheon
2020-10-01 15:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,13,25,25,23,17,46,56,0.0,1012,23,10,216,14,incheon
2020-10-01 18:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,12,21,21,21,17,35,58,0.0,1013,21,10,238,14,incheon
2020-10-01 21:00:00,23,19,0.0,8.8,5,97,06:21 PM,05:31 AM,06:28 AM,06:16 PM,11,20,20,20,12,46,56,0.0,1014,20,10,199,9,incheon
2020-10-02 00:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,11,20,20,20,13,27,58,0.0,1014,20,10,203,10,incheon
2020-10-02 03:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,12,20,20,20,14,5,63,0.0,1014,20,10,183,12,incheon
2020-10-02 06:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,12,18,18,18,15,26,67,0.0,1014,18,10,182,12,incheon
2020-10-02 09:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,12,20,20,20,24,62,62,0.0,1015,20,10,194,20,incheon
2020-10-02 12:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,13,21,24,21,26,58,61,0.0,1015,21,10,221,21,incheon
2020-10-02 15:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,14,22,25,22,26,79,61,0.0,1014,22,10,228,21,incheon
2020-10-02 18:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,15,21,24,21,26,99,67,0.0,1015,21,10,234,19,incheon
2020-10-02 21:00:00,22,18,0.0,7.3,6,100,06:46 PM,06:27 AM,06:29 AM,06:15 PM,16,21,21,21,15,83,76,0.1,1016,21,10,259,12,incheon
2020-10-03 00:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,14,20,20,20,13,26,67,0.0,1016,20,10,330,10,incheon
2020-10-03 03:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,12,20,20,20,11,18,60,0.0,1016,20,10,338,10,incheon
2020-10-03 06:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,9,19,19,19,11,10,52,0.0,1017,19,10,335,9,incheon
2020-10-03 09:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,8,20,20,20,9,10,46,0.0,1018,20,10,344,8,incheon
2020-10-03 12:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,5,24,24,22,11,22,33,0.0,1016,22,10,291,10,incheon
2020-10-03 15:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,5,21,21,21,17,60,35,0.0,1016,21,10,288,14,incheon
2020-10-03 18:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,5,20,20,20,14,79,37,0.0,1016,20,10,325,11,incheon
2020-10-03 21:00:00,22,19,0.0,10.2,6,89,07:11 PM,07:25 AM,06:30 AM,06:13 PM,6,19,19,19,9,99,44,0.1,1016,19,10,357,8,incheon
2020-10-04 00:00:00,21,14,0.0,7.3,5,82,07:37 PM,08:21 AM,06:31 AM,06:12 PM,13,20,20,20,12,14,62,0.0,1015,20,10,269,10,incheon
